src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,bwd_iat_total,fwd_packets,bwd_packets,fwd_packets_sec,bwd_packets_sec,fwd_bytes,bwd_bytes,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,psh_flag_count,down_up_ratio,avg_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,act_data_pkt_fwd,min_seg_size_forward,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flags,syn_flags,rst_flags,ack_flags,urg_flags,cwe_flags,ece_flags,fwd_header_len,bwd_header_len,subflow_fwd_pkts,subflow_fwd_bytes,subflow_bwd_pkts,subflow_bwd_bytes,init_win_bytes_fwd,init_win_bytes_bwd,active_mean,active_max,active_min,active_std,idle_mean,idle_max,idle_min,idle_std
131.3.168.192,138.213.14.72,57011,80,6,132520521,0.00,0.00,0,0,132520521,0,8,0,126.53,0.00,3271,0,54,1005,408.88,458.15,1679184.87,1005,54,408.88,206.69,0,65535,0.00,0.00,3,0.00,408.88,408.88,0.00,1059.00,2.00,0.00,0.00,0.00,0.00,8,54,3,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,16288,0,9223371767933217792.00,18446743535865040359,1393716,0.00,0.00,0,0,0.00
138.213.14.72,131.3.168.192,80,57011,6,132394206,0.00,0.00,0,0,132394206,0,5,0,79.16,0.00,1616,0,60,533,323.20,217.31,236126.80,533,60,323.20,-nan,0,65535,0.00,0.00,3,0.00,323.20,323.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,60,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,947,0,9223371767932518400.00,18446743535864890671,145656,0.00,0.00,0,0,0.00
131.3.168.192,102.213.14.72,55950,80,6,10059,0.00,0.00,0,0,10059,0,5,0,1041853.07,0.00,1226,0,54,998,245.20,376.43,708492.80,998,54,245.20,285.61,0,65535,0.00,0.00,1,0.00,245.20,245.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,54,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,8192,0,18446743535864887296.00,18446743535864888130,18446743535864888130,0.00,0.00,0,0,0.00
102.213.14.72,131.3.168.192,80,55950,6,7518,0.00,0.00,0,0,7518,0,4,0,1115190.21,0.00,727,0,60,541,181.75,207.43,172104.75,541,60,181.75,99.97,0,65535,0.00,0.00,1,0.00,181.75,181.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,60,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,5720,0,18446743535864883200.00,18446743535864883405,18446743535864883405,0.00,0.00,0,0,0.00
131.3.168.192,147.213.14.72,52152,443,6,128631015,0.00,0.00,0,0,128631015,0,90,0,1466.52,0.00,9571,0,54,630,106.34,98.24,868518.32,630,54,106.34,-nan,0,65535,0.00,0.00,26,0.00,106.34,106.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90,54,26,0,0,0,0,1,0,89,0,0,0,0,0,0,0,0,0,8192,0,9223371767934104576.00,18446743535864875131,3334716,0.00,0.00,0,0,0.00
147.213.14.72,131.3.168.192,443,52152,6,128629188,0.00,0.00,0,0,128629188,0,216,0,3519.70,0.00,113354,0,60,1484,524.79,603.75,78736224.20,1484,60,524.79,298.53,0,65535,0.00,0.00,86,0.00,524.79,524.79,0.00,25009.75,31.50,0.01,0.00,0.00,0.00,216,60,86,0,0,0,0,1,0,216,0,0,0,0,0,0,0,0,0,5720,0,9223371767934093312.00,18446743535864873787,3312897,0.00,0.00,0,0,0.00
131.3.168.192,209.206.55.65,55953,80,6,1263495,0.00,0.00,0,0,1263495,0,4,0,6635.56,0.00,689,0,54,515,172.25,197.95,156732.75,515,54,172.25,97.54,0,65535,0.00,0.00,1,0.00,172.25,172.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,54,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,8192,0,18446743535864864768.00,18446743535864864400,18446743535864864400,0.00,0.00,0,0,0.00
209.206.55.65,131.3.168.192,80,55953,6,295827,0.00,0.00,0,0,295827,0,2,0,14170.44,0.00,410,0,60,350,205.00,145.00,42050.00,350,60,205.00,-nan,0,65535,0.00,0.00,1,0.00,205.00,205.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,60,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8190,0,18446743535863939072.00,18446743535863940013,18446743535863940013,0.00,0.00,0,0,0.00
131.3.168.192,37.17.55.65,55954,80,6,198597,0.00,0.00,0,0,198597,0,13,0,137202.48,0.00,2551,0,54,706,196.23,257.87,864460.31,706,54,196.23,167.30,0,65535,0.00,0.00,3,0.00,196.23,196.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13,54,3,0,0,0,1,1,1,12,0,0,0,0,0,0,0,0,0,8192,0,18446743535863642112.00,18446743535863641309,18446743535863641309,0.00,0.00,0,0,0.00
37.17.55.65,131.3.168.192,80,55954,6,195909,0.00,0.00,0,0,195909,0,19,0,203278.05,0.00,25502,0,60,1514,1342.21,406.53,3140121.16,1514,60,1342.21,-nan,0,65535,0.00,0.00,4,0.00,1342.21,1342.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,60,4,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,8190,0,18446743535863640064.00,18446743535863639167,18446743535863639167,0.00,0.00,0,0,0.00
131.3.168.192,38.148.46.207,55955,80,6,6468,0.00,0.00,0,0,6468,0,5,0,1620284.48,0.00,730,0,54,502,146.00,178.06,158528.00,502,54,146.00,101.93,0,65535,0.00,0.00,1,0.00,146.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,54,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,8192,0,18446743535863601152.00,18446743535863601682,18446743535863601682,0.00,0.00,0,0,0.00
38.148.46.207,131.3.168.192,80,55955,6,5691,0.00,0.00,0,0,5691,0,3,0,1104902.48,0.00,455,0,60,333,151.67,128.22,49324.67,333,60,151.67,-nan,0,65535,0.00,0.00,1,0.00,151.67,151.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,60,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,8192,0,18446743535863599104.00,18446743535863598532,18446743535863598532,0.00,0.00,0,0,0.00
131.3.168.192,121.139.235.66,55956,80,6,2013849,0.00,0.00,0,0,2013849,0,8,0,8326.34,0.00,3933,0,54,1342,491.62,564.99,2553675.88,1342,54,491.62,278.41,0,65535,0.00,0.00,3,0.00,491.62,491.62,0.00,2363.00,3.00,0.00,0.00,0.00,0.00,8,54,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,8192,0,18446743535863595008.00,18446743535863594668,18446743535863594668,0.00,0.00,0,0,0.00
131.3.168.192,232.5.55.65,55957,80,6,99761298,0.00,0.00,0,0,99761298,0,32,0,672.32,0.00,14661,0,54,1133,458.16,442.48,6265322.22,1133,54,458.16,-nan,0,65535,0.00,0.00,15,0.00,458.16,458.16,0.00,1820.75,3.00,0.00,0.00,0.00,0.00,32,54,15,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,8192,0,9223371767947431936.00,18446743535863592400,31270230,0.00,0.00,0,0,0.00
131.3.168.192,163.239.55.65,55958,80,6,98812812,0.00,0.00,0,0,98812812,0,18,0,381.81,0.00,8642,0,54,1188,480.11,493.14,4377403.78,1188,54,480.11,112.62,0,65535,0.00,0.00,8,0.00,480.11,480.11,0.00,1199.00,1.67,0.00,0.00,0.00,0.00,18,54,8,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,8192,0,9223371767947372544.00,18446743535863591749,31154415,0.00,0.00,0,0,0.00
121.139.235.66,131.3.168.192,80,55956,6,5148939,0.00,0.00,0,0,5148939,0,5,0,2035.37,0.00,2122,0,60,734,424.40,297.48,442457.20,734,60,424.40,-nan,0,65535,0.00,0.00,3,0.00,424.40,424.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,60,3,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,4380,0,18446743535863590912.00,18446743535863591014,18446743535863591014,0.00,0.00,0,0,0.00
232.5.55.65,131.3.168.192,80,55957,6,98918589,0.00,0.00,0,0,98918589,0,16,0,339.03,0.00,21363,0,60,1496,1335.19,367.71,2163362.44,1496,60,1335.19,-nan,0,65535,0.00,0.00,15,0.00,1335.19,1335.19,0.00,1561.33,1.17,0.00,0.00,0.00,0.00,16,60,15,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,8190,0,9223371767947417600.00,18446743535863587822,31247865,0.00,0.00,0,0,0.00
163.239.55.65,131.3.168.192,80,55958,6,98194236,0.00,0.00,0,0,98194236,0,9,0,192.11,0.00,3780,0,60,465,420.00,127.28,145800.00,465,60,420.00,-nan,0,65535,0.00,0.00,8,0.00,420.00,420.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,60,8,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,8190,0,9223371767947148288.00,18446743535863583874,30712092,0.00,0.00,0,0,0.00
131.3.168.192,231.5.55.65,55959,80,6,101428547,0.00,0.00,0,0,101428547,0,30,0,619.94,0.00,13934,0,54,1135,464.47,449.75,6068331.47,1135,54,464.47,-nan,0,65535,0.00,0.00,14,0.00,464.47,464.47,0.00,1469.00,2.20,0.00,0.00,0.00,0.00,30,54,14,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,8192,0,9223371767947682816.00,18446743535863556070,31808691,0.00,0.00,0,0,0.00
231.5.55.65,131.3.168.192,80,55959,6,99424731,0.00,0.00,0,0,99424731,0,15,0,316.22,0.00,16000,0,60,1407,1066.67,351.71,1855449.33,1407,60,1066.67,-nan,0,65535,0.00,0.00,14,0.00,1066.67,1066.67,0.00,1349.83,1.00,0.00,0.00,0.00,0.00,15,60,14,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,8190,0,9223371767947532288.00,18446743535863555020,31510722,0.00,0.00,0,0,0.00
131.3.168.192,139.207.108.206,55960,80,6,98889126,0.00,0.00,0,0,98889126,0,20,0,423.91,0.00,6891,0,54,858,344.55,359.67,2587196.95,858,54,344.55,103.18,0,65535,0.00,0.00,8,0.00,344.55,344.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,54,8,0,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,8192,0,9223371767947381760.00,18446743535863549812,31212606,0.00,0.00,0,0,0.00
131.3.168.192,32.133.24.184,55961,80,6,46599,0.00,0.00,0,0,46599,0,4,0,179918.02,0.00,932,0,54,758,233.00,303.15,367596.00,758,54,233.00,193.93,0,65535,0.00,0.00,1,0.00,233.00,233.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,54,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,8192,0,18446743535863549952.00,18446743535863549014,18446743535863549014,0.00,0.00,0,0,0.00
139.207.108.206,131.3.168.192,80,55960,6,98160909,0.00,0.00,0,0,98160909,0,11,0,234.88,0.00,4794,0,60,576,435.82,228.92,576451.64,576,60,435.82,-nan,0,65535,0.00,0.00,8,0.00,435.82,435.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,60,8,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,5840,0,9223371767947253760.00,18446743535863548258,30960249,0.00,0.00,0,0,0.00
32.133.24.184,131.3.168.192,80,55961,6,2562,0.00,0.00,0,0,2562,0,3,0,2454332.55,0.00,702,0,60,576,234.00,241.84,175464.00,576,60,234.00,61.09,0,65535,0.00,0.00,1,0.00,234.00,234.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,60,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5840,0,18446743535863545856.00,18446743535863545423,18446743535863545423,0.00,0.00,0,0,0.00
131.3.168.192,232.5.55.65,55962,80,6,99413160,0.00,0.00,0,0,99413160,0,18,0,379.51,0.00,8520,0,54,1135,473.33,479.08,4131378.00,1135,54,473.33,74.00,0,65535,0.00,0.00,8,0.00,473.33,473.33,0.00,1119.25,1.50,0.00,0.00,0.00,0.00,18,54,8,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,8192,0,9223371767947372544.00,18446743535863542399,31203744,0.00,0.00,0,0,0.00
232.5.55.65,131.3.168.192,80,55962,6,98439810,0.00,0.00,0,0,98439810,0,10,0,212.92,0.00,12099,0,60,1514,1209.90,437.06,1910190.90,1514,60,1209.90,-nan,0,65535,0.00,0.00,8,0.00,1209.90,1209.90,0.00,1602.25,1.25,0.00,0.00,0.00,0.00,10,60,8,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,8190,0,9223371767947251712.00,18446743535863540593,30963630,0.00,0.00,0,0,0.00
